"datum";"meting"
"1991-12-02";292
"1992-01-29";314
"1992-02-28";314
"1992-03-27";366
"1992-04-28";341
"1992-05-27";324
"1992-06-29";320
"1992-07-28";300
"1992-08-28";276
"1992-09-28";269
"1992-10-28";239
"1992-11-28";364
"1993-02-02";411
"1993-03-01";360
"1993-03-29";321
"1993-04-28";314
"1993-05-28";304
"1993-06-29";297
"1993-07-28";319
"1993-08-27";312
"1993-09-28";340
"1993-10-28";376
"1993-11-29";337
"1993-12-28";479
"1994-01-31";482
"1994-02-28";387
"1994-03-28";452
"1994-04-28";424
"1994-05-27";379
"1994-06-28";355
"1994-07-29";314
"1994-08-29";295
"1994-09-28";313
"1994-10-28";285
"1994-11-28";321
"1994-12-28";329
"1995-01-27";429
"1995-02-28";479
"1995-03-28";464
"1995-04-28";414
"1995-05-29";385
"1995-06-28";400
"1995-07-28";342
"1995-08-28";303
"1995-09-28";313
"1995-10-27";292
"1995-11-28";283
"1995-12-28";280
"1996-01-29";289
"1996-02-28";281
"1996-03-28";268
"1996-04-26";262
"1996-05-28";273
"1996-06-28";283
"1996-07-29";290
"1996-08-28";282
"1996-09-27";265
"1996-10-28";276
"1996-11-28";351
"1996-12-24";365
"1997-01-28";313
"1997-02-28";371
"1997-03-27";357
"1997-04-28";315
"1997-05-28";316
"1997-06-27";313
"1997-08-28";285
"1997-09-29";285
"1997-10-28";267
"1997-11-27";249
"1997-12-29";310
"1998-01-28";358
"1998-02-27";301
"1998-04-28";360
"1998-06-29";333
"1998-07-28";311
"1998-08-28";272
"1998-09-28";358
"1998-10-29";395
"1998-11-27";456
"1998-12-28";421
"1999-01-28";402
"1999-02-26";424
"1999-03-29";441
"1999-05-27";419
"1999-06-29";373
"1999-07-30";343
"1999-08-27";316
"1999-09-28";281
"1999-10-28";282
"1999-11-29";290
"1999-12-22";360
"2000-01-28";359
